distance,transport_type,electricity,flights,diet_type,carbon_footprint
40.581311290499436,1,146.51354905174693,4,0,333.7987323112608
95.31785910894203,3,578.2191684113332,17,0,1500.9314304129662
74.53942447208348,0,586.5716094490958,9,1,905.788784428208
61.872555998718475,2,673.6869113483859,5,0,865.8084167358453
19.82177084203147,3,753.4822003503954,0,0,858.860306727325
19.81947943193925,1,978.2668715162812,4,0,994.1093331655615
10.517943155978948,0,564.6703134710758,8,0,732.8435537387547
87.28673384861884,3,390.6608256471214,11,0,1207.8553583872028
62.10592611560484,0,815.6675752918333,13,1,1132.1148874018959
72.26689489062431,0,343.74902613586676,1,1,513.6431218480488
6.955526958101233,0,495.0742786350725,16,0,833.9694911708635
97.14143595538945,2,170.61074320803937,13,0,651.0735755292637
84.08205087604007,2,122.81566907391176,12,0,553.4539996398333
25.172215514436235,1,966.3835732101326,8,0,1051.8025743361675
22.27337188467456,1,852.3821084609853,14,1,1178.7366181417478
22.42342843607621,3,726.3767854843281,14,0,1133.7235775587365
33.90301308115608,1,468.0576499728429,10,1,823.1156287998846
54.851861005062595,0,255.9648880637612,15,1,720.4961407407161
46.034776771001,0,240.79333840397743,16,0,635.376429427868
32.66676831881398,2,325.21860834813583,3,1,575.1299842215903
63.12602499862605,0,594.3039982355084,0,1,671.1137601552572
18.251916761943974,3,743.1363304300561,7,1,1081.9618853535808
32.75374161084572,0,694.1776390459581,16,1,1115.6096912262085
39.804375112900715,0,351.94050725134855,2,0,392.40696290669325
48.32664850061841,3,959.3787525968747,19,0,1566.8216214417757
79.59171633233629,1,764.1072250261917,14,1,1124.4715592636962
23.969009305044175,1,598.9186472602606,14,0,882.1518888182892
53.8522716492931,3,650.548671610917,13,0,1213.9882426091187
61.27938404189403,2,477.6400561850109,13,0,853.4888480530552
9.412789208399783,0,322.9578905510417,1,0,379.06050888251804
62.716760930636646,3,420.37541078613543,12,0,1063.9855885520342
21.199791750292697,0,782.0614994179322,13,1,1134.271531422812
11.179901333601554,2,112.95413976678029,18,0,595.5358198225472
95.14412603906666,0,204.46537645622462,6,0,378.58371568809554
96.73504314208314,3,141.40237781957748,2,0,826.9159406749507
81.79774807106381,0,136.65592208707312,14,0,513.560383886059
33.93830807147022,1,869.9145256099065,13,1,1204.153128188953
14.278850830606467,2,733.2920734420213,10,1,1018.9755050204591
70.0021375186549,2,526.7564461785927,14,1,1023.9303454730517
46.81448690526212,2,188.05074458590133,12,1,711.3594617200716
16.593632310253987,3,542.4542876051491,17,0,986.810014593986
52.04180646057067,2,526.1245937025092,5,1,851.8676349627559
8.266909505945748,1,255.88168291901366,2,0,376.0430583625577
91.38543819748429,3,490.4664843141757,18,0,1460.003471823639
29.584098252001606,1,458.6542609576361,14,0,764.0569506861401
67.9396170136283,0,654.2650882469948,4,0,716.4595882146139
34.61255222849404,0,671.5842857808794,9,0,829.2158381648098
54.406462011892025,0,140.77360879484007,6,1,462.96942305029296
56.937476537611566,0,437.15135316382407,16,1,880.4437674742271
22.561173274925068,1,663.2739241428127,6,1,890.2772796464413
97.11053963763307,3,552.8226327220789,11,1,1478.7104515484107
78.63761821930588,3,870.8408570694901,16,0,1618.287954831867
94.25239944859797,2,692.8242684570505,12,1,1185.467693990965
90.00859829062664,1,246.64098437328673,19,0,727.2351174011485
61.80049798705309,0,163.51187266038687,3,1,413.26144995368327
92.5780523271961,1,678.177350385684,9,0,861.484775636064
13.406787694932353,2,123.86017948745963,2,0,248.8734591066456
23.618371929818792,2,627.198023146117,8,1,931.0195141263629
9.296592446501116,1,946.2072172824618,12,0,1137.295700792244
35.90638142251011,1,617.9267600882911,17,0,976.5046776483856
41.924342520500794,1,449.3529335858697,14,1,865.8396080044744
